timestamp (ms), cpu time (ms), memory usage (KB)
1669301355002, 310, 13038
1669301355012, 330, 13604
1669301355026, 360, 13604
1669301355036, 380, 13604
1669301355046, 410, 14088
1669301355056, 410, 14088
1669301355067, 420, 14088
1669301355081, 450, 14570
1669301355091, 470, 14570
1669301355101, 490, 14570
1669301355112, 510, 14570
1669301355122, 540, 14570
1669301355132, 550, 14570
1669301355142, 580, 14570
1669301355153, 600, 14570
1669301355164, 610, 14570
1669301355175, 650, 14570
1669301355184, 660, 14570
1669301355187, 680, 14570


, End, Start, Difference
Time (ms), 1669301355187, 1669301355002, 185
CPU Time (ms), 680, 310, 370
Mem Usage (KB), 14570, 13038, 1532
