timestamp (ms), cpu time (ms), memory usage (KB)
1669635477003, 260, 13038
1669635477016, 280, 13521
1669635477027, 300, 13521
1669635477038, 330, 13602
1669635477048, 340, 14087
1669635477058, 370, 14569
1669635477068, 400, 14569
1669635477078, 430, 14651
1669635477092, 460, 14651
1669635477103, 510, 14651
1669635477114, 550, 14651
1669635477125, 580, 15136
1669635477135, 620, 15136
1669635477147, 660, 15699
1669635477157, 690, 15699
1669635477167, 720, 16185
1669635477182, 730, 16185
1669635477192, 760, 16185
1669635477202, 770, 16185
1669635477212, 780, 16185
1669635477222, 800, 16185
1669635477233, 820, 16185
1669635477243, 840, 16185
1669635477253, 870, 16185
1669635477264, 880, 16185
1669635477274, 900, 16185
1669635477284, 910, 16668
1669635477294, 940, 16668
1669635477304, 960, 16668
1669635477314, 970, 16668
1669635477324, 1000, 16668
1669635477334, 1010, 16668
1669635477344, 1030, 16668
1669635477354, 1050, 16668
1669635477364, 1070, 16748
1669635477374, 1070, 16748
1669635477385, 1080, 16748
1669635477395, 1080, 16748
1669635477405, 1080, 16748
1669635477411, 1080, 17232


, End, Start, Difference
Time (ms), 1669635477411, 1669635477003, 408
CPU Time (ms), 1080, 260, 820
Mem Usage (KB), 17232, 13038, 4194
