timestamp (ms), cpu time (ms), memory usage (KB)
1669302246003, 310, 13038
1669302246013, 330, 13521
1669302246024, 340, 13521
1669302246035, 360, 13602
1669302246045, 380, 14087
1669302246055, 410, 14569
1669302246065, 420, 14569
1669302246076, 460, 14651
1669302246086, 490, 14651
1669302246098, 530, 14651
1669302246109, 570, 15136
1669302246119, 620, 15136
1669302246129, 650, 15136
1669302246140, 680, 15699
1669302246150, 690, 15699
1669302246160, 690, 15699
1669302246170, 690, 15699
1669302246180, 710, 15699
1669302246190, 740, 15699
1669302246200, 750, 16184
1669302246211, 760, 16184
1669302246221, 790, 16184
1669302246231, 820, 16184
1669302246242, 830, 16184
1669302246252, 860, 16184
1669302246262, 870, 16184
1669302246272, 910, 16184
1669302246282, 930, 16184
1669302246292, 950, 16184
1669302246302, 980, 16666
1669302246312, 1010, 16666
1669302246322, 1030, 16666
1669302246333, 1060, 16666
1669302246343, 1090, 16666
1669302246353, 1110, 16666
1669302246363, 1140, 16666
1669302246373, 1170, 16666
1669302246384, 1190, 16748
1669302246394, 1210, 17236
1669302246406, 1240, 17236
1669302246416, 1270, 17236
1669302246426, 1300, 17236
1669302246436, 1320, 17236
1669302246449, 1340, 17236
1669302246459, 1360, 17236
1669302246470, 1390, 17236
1669302246478, 1390, 17718


, End, Start, Difference
Time (ms), 1669302246478, 1669302246003, 475
CPU Time (ms), 1390, 310, 1080
Mem Usage (KB), 17718, 13038, 4679
