timestamp (ms), cpu time (ms), memory usage (KB)
1669635203001, 330, 13038
1669635203012, 340, 13604
1669635203022, 360, 13604
1669635203033, 380, 13604
1669635203044, 400, 14087
1669635203054, 410, 14087
1669635203064, 430, 14087
1669635203074, 450, 14569
1669635203085, 470, 14569
1669635203095, 480, 14569
1669635203105, 490, 14569
1669635203115, 510, 14569
1669635203125, 520, 14569


, End, Start, Difference
Time (ms), 1669635203125, 1669635203001, 124
CPU Time (ms), 520, 330, 190
Mem Usage (KB), 14569, 13038, 1530
